Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"504 Warren Street, CUMBERLAND, MD",https://www.estately.com/listings/info/504-warren-street-cumberland-md-21502--1,504_Warren_Street_CUMBERLAND_MD.jpg,"$190,000",House For Sale,3 photos,House For Sale,3,2,"1,200","4,500"
"808 Louisiana Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/808-louisiana-avenue-cumberland-md-21502,808_Louisiana_Avenue_CUMBERLAND_MD.jpg,"$200,000",House For Sale,22 photos,House For Sale,3,2,"1,455","8,450"
"1212 Lafayette Ave, CUMBERLAND, MD",https://www.estately.com/listings/info/1212-lafayette-ave-cumberland-md-21502,1212_Lafayette_Ave_CUMBERLAND_MD.jpg,"$218,500",House For Sale,112 photos,House For Sale,3,3,"1,600","8,276"
"903 Maryland Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/903-maryland-avenue-cumberland-md-21502,903_Maryland_Avenue_CUMBERLAND_MD.jpg,"$67,900",House For Sale,24 photos,House For Sale,2,1,728,"1,589"
"136 Arch Street, CUMBERLAND, MD",https://www.estately.com/listings/info/136-arch-street-cumberland-md-21502--1,136_Arch_Street_CUMBERLAND_MD.jpg,"$138,500",Multifamily For Sale,32 photos,Multifamily For Sale,–,–,"2,296","3,950"
"511 Rose Hill Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/511-rose-hill-avenue-cumberland-md-21502,511_Rose_Hill_Avenue_CUMBERLAND_MD.jpg,"$148,000",Multifamily For Sale,17 photos,Multifamily For Sale,–,–,"1,544","2,916"
"328 N Mechanic Street, CUMBERLAND, MD",https://www.estately.com/listings/info/328-n-mechanic-street-cumberland-md-21502,328_N_Mechanic_Street_CUMBERLAND_MD.jpg,"$298,897",House For Sale,13 photos,House For Sale,5,4,"3,229","3,756"
"1400 Holland Street, CUMBERLAND, MD",https://www.estately.com/listings/info/1400-holland-street-cumberland-md-21502,1400_Holland_Street_CUMBERLAND_MD.jpg,"$119,900",House For Sale,37 photos,House For Sale,2,1,799,"4,800"
"965 Braddock Road, CUMBERLAND, MD",https://www.estately.com/listings/info/965-braddock-road-cumberland-md-21502--1,965_Braddock_Road_CUMBERLAND_MD.jpg,"$750,000",House For Sale,79 photos,House For Sale,5,5,"5,823",
"1009 Michigan Avenue, CUMBERLAND, MD",https://www.estately.com/listings/info/1009-michigan-avenue-cumberland-md-21502--1,1009_Michigan_Avenue_CUMBERLAND_MD.jpg,"$174,777",House For Sale,39 photos,House For Sale,5,4,"2,255","12,881"
