Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"1730 E 14th Street Unit 1H, Madison, NY",https://www.estately.com/listings/info/1730-e-14th-street-madison-ny-11229,1730_E_14th_Street_Unit1H_Madison_NY.jpg,"$399,990",House For Sale,25 photos,Douglas Elliman Real Estate,1,1,–,
"814 44th Street, Sunset Park, NY",https://www.estately.com/listings/info/814-44th-street-sunset-park-ny-11220,814_44th_Street_Sunset_Park_NY.jpg,"$2,100,000",Multifamily For Sale,34 photos,Keller Williams Realty NYC Grp,14,9,"8,100","2,462"
"147 Essex Street, Cypress Hills, NY",https://www.estately.com/listings/info/147-essex-street-cypress-hills-ny-11208,147_Essex_Street_Cypress_Hills_NY.jpg,"$700,000",House For Sale,1 photo,TDG Elite Realty Inc,3,2,–,"1,188"
"1016 E 102nd Street, Brooklyn, NY",https://www.estately.com/listings/info/1016-e-102nd-street-brooklyn-ny-11236,1016_E_102nd_Street_Brooklyn_NY.jpg,"$692,180",Multifamily For Sale,1 photo,REALHome Services & Solutions,6,5,"2,235","3,533"
"394 Linden Boulevard, East Flatbush, NY",https://www.estately.com/listings/info/394-linden-boulevard-east-flatbush-ny-11203,394_Linden_Boulevard_East_Flatbush_NY.jpg,"$899,000",House For Sale,34 photos,Bergen Basin Realty LLC,4,2,–,"2,160"
"1502 W 1st Street Unit 2C, Bensonhurst, NY",https://www.estately.com/listings/info/1502-w-1st-street-bensonhurst-ny-11204,1502_W_1st_Street_Unit2C_Bensonhurst_NY.jpg,"$725,000",Condo For Sale,13 photos,Coldwell Banker Reliable R E,2,2,958,
"488 Sterling Pl Unit 4-B, Brooklyn, NY",https://www.estately.com/listings/info/488-sterling-pl-brooklyn-ny-11238,488_Sterling_Pl_Unit4B_Brooklyn_NY.jpg,"$1,999,000",Condo For Sale,19 photos,R New York,2,2,"1,279",
"265 Covert Street, Bushwick, NY",https://www.estately.com/listings/info/265-covert-street-bushwick-ny-11207,265_Covert_Street_Bushwick_NY.jpg,"$1,475,000",Multifamily For Sale,2 photos,Prestige Homes Brokerage LLC,8,6,–,"2,000"
"597 E 93rd Street Unit 6, Canarsie, NY",https://www.estately.com/listings/info/597-e-93rd-street-canarsie-ny-11236--4,597_E_93rd_Street_Unit6_Canarsie_NY.jpg,"$1,100,000",Multifamily For Sale,6 photos,Discount Realty Consultants,12,7,–,"3,000"
"627 E 32nd Street, Midwood, NY",https://www.estately.com/listings/info/627-e-32nd-street-midwood-ny-11210,627_E_32nd_Street_Midwood_NY.jpg,"$1,969,000",Multifamily For Sale,7 photos,Citadel Circle Realty,7,3,–,"4,100"
"1429 65th Street, Dyker Heights, NY",https://www.estately.com/listings/info/1429-65th-street-dyker-heights-ny-11219,1429_65th_Street_Dyker_Heights_NY.jpg,"$1,580,000",Multifamily For Sale,11 photos,Winzone Realty Inc,7,4,–,"2,000"
"798 E 21st Street, Brooklyn, NY",https://www.estately.com/listings/info/798-e-21st-street-midwood-ny-11210,798_E_21st_Street_Brooklyn_NY.jpg,"$1,900,000",House For Sale,35 photos,BHHS Hudson Valley Properties,6,4,"2,470",
"109 Belmont Avenue Unit 6, Brownsville, NY",https://www.estately.com/listings/info/109-belmont-avenue-brownsville-ny-11212,109_Belmont_Avenue_Unit6_Brownsville_NY.jpg,"$980,000",Multifamily For Sale,17 photos,Winzone Realty Inc,8,3,–,"1,200"
"5430 Kings Hwy, East Flatbush, NY",https://www.estately.com/listings/info/5430-kings-hwy-east-flatbush-ny-11203,5430_Kings_Hwy_East_Flatbush_NY.jpg,"$598,000",House For Sale,16 photos,RE/MAX Edge,3,2,"2,093","2,024"
"337 Bay 10th Street, Dyker Heights, NY",https://www.estately.com/listings/info/337-bay-10th-street-dyker-heights-ny-11228,337_Bay_10th_Street_Dyker_Heights_NY.jpg,"$1,350,000",Multifamily For Sale,25 photos,Winzone Realty Inc,5,3,–,"1,740"
"403 Linden Boulevard, East Flatbush, NY",https://www.estately.com/listings/info/403-linden-boulevard-east-flatbush-ny-11203,403_Linden_Boulevard_East_Flatbush_NY.jpg,"$725,000",House,1 photo,Integrity Core Realty,3,1,"1,405","2,165"
"367 Lincoln Avenue, East New York, NY",https://www.estately.com/listings/info/367-lincoln-avenue-east-new-york-ny-11208,367_Lincoln_Avenue_East_New_York_NY.jpg,"$850,000",Multifamily For Sale,19 photos,Voro LLC,5,3,–,"2,002"
"556 Quincy Street, Stuyvesant Heights, NY",https://www.estately.com/listings/info/556-quincy-street-stuyvesant-heights-ny-11221,556_Quincy_Street_Stuyvesant_Heights_NY.jpg,"$1,425,000",Multifamily For Sale,1 photo,Legacy Estate Realty,9,4,–,"1,900"
"1458 E. 86th Street, Canarsie, NY",https://www.estately.com/listings/info/1458-e-86th-street-e-canarsie-ny-11236,1458_E_86th_Street_Canarsie_NY.jpg,"$985,000",Multifamily For Sale,7 photos,Rigaud Realty Services,6,3,–,"2,000"
"3901 Nostrand Avenue Unit 5N, Sheepshead Bay, NY",https://www.estately.com/listings/info/3901-nostrand-avenue-sheepshead-bay-ny-11235,3901_Nostrand_Avenue_Unit5N_Sheepshead_Bay_NY.jpg,"$329,000",House For Sale,18 photos,RE/MAX Edge,1,1,850,
"1660 74th Street, Bensonhurst, NY",https://www.estately.com/listings/info/1660-74th-street-bensonhurst-ny-11204,1660_74th_Street_Bensonhurst_NY.jpg,"$1,380,000",Multifamily For Sale,1 photo,Winzone Realty Inc,4,2,–,"1,800"
"2483 W 16th Street Unit 17K, Gravesend, NY",https://www.estately.com/listings/info/2483-w-16th-street-gravesend-ny-11214,2483_W_16th_Street_Unit17K_Gravesend_NY.jpg,"$309,000",House For Sale,15 photos,Americana Realty Group LLC,1,1,875,
"2955 Ocean Parkway Unit 2F, Brighton Beach, NY",https://www.estately.com/listings/info/2955-ocean-parkway-brighton-beach-ny-11235,2955_Ocean_Parkway_Unit2F_Brighton_Beach_NY.jpg,"$595,000",Condo For Sale,11 photos,Exit Realty Top Properties,1,1,–,
"532 Bradford Street, East New York, NY",https://www.estately.com/listings/info/532-bradford-street-east-new-york-ny-11207,532_Bradford_Street_East_New_York_NY.jpg,"$899,000",Multifamily For Sale,3 photos,Richmont Realty,5,2,"2,208","2,725"
"477 Avenue Y, Gravesend, NY",https://www.estately.com/listings/info/477-avenue-y-gravesend-ny-11223,477_Avenue_Y_Gravesend_NY.jpg,"$980,000",Multifamily For Sale,1 photo,Voro LLC,4,2,"1,856","1,999"
"3391 12th Avenue, Kensington, NY",https://www.estately.com/listings/info/3391-12th-avenue-kensington-ny-11218,3391_12th_Avenue_Kensington_NY.jpg,"$2,100,000",Multifamily For Sale,15 photos,"Momentum Real Estate, LLC",7,4,"3,280","2,375"
"524 Thatford Avenue, Brownsville, NY",https://www.estately.com/listings/info/524-thatford-avenue-brownsville-ny-11212,524_Thatford_Avenue_Brownsville_NY.jpg,"$979,000",Multifamily For Sale,27 photos,Neighborhood Elite Homes LLC,6,3,–,"2,252"
"259 Miller Avenue, East New York, NY",https://www.estately.com/listings/info/259-miller-avenue-east-new-york-ny-11207,259_Miller_Avenue_East_New_York_NY.jpg,"$565,000",House For Sale,1 photo,5 Boro Realty Corp,3,2,–,"1,899"
