Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"8470 129 Street Unit 3W, Kew Gardens, NY",https://www.estately.com/listings/info/8470-129-street-kew-gardens-ny-11415,8470_129_Street_Unit3W_Kew_Gardens_NY.jpg,"$210,000",House For Sale,12 photos,DH Citadel Real Estate LLC,1,1,750,
"36 36 Prince Street Unit 6a, Flushing, NY",https://www.estately.com/listings/info/36-36-prince-street-flushing-ny-11354--16,36_36_Prince_Street_Unit6a_Flushing_NY.jpg,"$690,000",Condo For Sale,10 photos,EXP Realty,2,2,–,
"59 20 70th Street, Maspeth, NY",https://www.estately.com/listings/info/59-20-70th-street-maspeth-ny-11378,59_20_70th_Street_Maspeth_NY.jpg,"$1,098,000",House For Sale,1 photo,Real Broker NY LLC,3,2,"2,160","2,100"
"86 45 107th Street, Richmond Hill North, NY",https://www.estately.com/listings/info/86-45-107th-street-richmond-hill-north-ny-11418,86_45_107th_Street_Richmond_Hill_North_NY.jpg,"$799,000",Multifamily For Sale,22 photos,Parkside Realty of Queens Inc,3,2,–,"2,500"
"102 27 163rd Road, Howard Beach, NY",https://www.estately.com/listings/info/102-27-163rd-road-howard-beach-ny-11414--2,102_27_163rd_Road_Howard_Beach_NY.jpg,"$849,500",House For Sale,30 photos,American Patriot Real Estate,5,3,–,"5,600"
"166 26 Powell Cove Boulevard Unit 2D, Beechhurst, NY",https://www.estately.com/listings/info/166-26-powell-cove-boulevard-beechhurst-ny-11357--1,166_26_Powell_Cove_Boulevard_Unit2D_Beechhurst_NY.jpg,"$315,000",House For Sale,25 photos,Block & Lot Services Inc,1,1,800,
"268 28 82nd Avenue Unit 132A, New Hyde Park, NY",https://www.estately.com/listings/info/268-28-82nd-avenue-new-hyde-park-ny-11040,268_28_82nd_Avenue_Unit132A_New_Hyde_Park_NY.jpg,"$299,000",House For Sale,11 photos,HomeSmart Premier Living Rlty,1,1,–,
"63 12 136th Street, Flushing, NY",https://www.estately.com/listings/info/63-12-136th-street-flushing-ny-11367--3,63_12_136th_Street_Flushing_NY.jpg,"$1,958,000",Multifamily For Sale,23 photos,E Realty International Corp,6,6,"1,378","4,000"
"110 40 160th Street, Jamaica, NY",https://www.estately.com/listings/info/110-40-160th-street-jamaica-ny-11433,110_40_160th_Street_Jamaica_NY.jpg,"$750,000",House For Sale,1 photo,Exit Realty Prime,3,3,–,"2,500"
"63 14 Queens Blvd Unit 8H, Woodside, NY",https://www.estately.com/listings/info/63-14-queens-blvd-woodside-ny-11377--4,63_14_Queens_Blvd_Unit8H_Woodside_NY.jpg,"$783,000",Condo For Sale,6 photos,United Real Estate Fortune,3,2,"1,005",
"119 23 229th Street, Jamaica, NY",https://www.estately.com/listings/info/119-23-229th-street-jamaica-ny-11411,119_23_229th_Street_Jamaica_NY.jpg,"$635,000",House For Sale,26 photos,Redfin Real Estate,2,2,"1,400","4,000"
"37 43 58th St, Woodside, NY",https://www.estately.com/listings/info/37-43-58th-st-woodside-ny-11377,37_43_58th_St_Woodside_NY.jpg,"$1,750,000",Multifamily For Sale,17 photos,City Advance Realty Inc,8,4,"3,200","2,500"
"157 31 Quince Avenue, Flushing, NY",https://www.estately.com/listings/info/157-31-quince-avenue-flushing-ny-11355,157_31_Quince_Avenue_Flushing_NY.jpg,"$1,146,000",House For Sale,10 photos,Weichert Realtors TMT Group,3,2,"1,540","4,799"
"107 31 87 Street, Ozone Park, NY",https://www.estately.com/listings/info/107-31-87-street-ozone-park-ny-11417,107_31_87_Street_Ozone_Park_NY.jpg,"$715,888",House For Sale,15 photos,RE/MAX 1st Choice,3,2,"1,088","2,600"
"25 34 78 Street, East Elmhurst, NY",https://www.estately.com/listings/info/25-34-78-street-east-elmhurst-ny-11370,25_34_78_Street_East_Elmhurst_NY.jpg,"$1,098,000",Multifamily For Sale,19 photos,Chous Realty Group Inc,3,3,"1,723","2,200"
"89 50 210th Street, Queens Village, NY",https://www.estately.com/listings/info/89-50-210th-street-queens-village-ny-11427,89_50_210th_Street_Queens_Village_NY.jpg,"$695,000",House,1 photo,Signature Premier Properties,4,2,–,"2,825"
"163 39 Willets Point Boulevard Unit 5-174, Whitestone, NY",https://www.estately.com/listings/info/163-39-willets-point-boulevard-whitestone-ny-11357,163_39_Willets_Point_Boulevard_Unit5174_Whitestone_NY.jpg,"$235,000",House,23 photos,Keller Williams Rlty Landmark,1,1,–,
"85 11 148 Street, Briarwood, NY",https://www.estately.com/listings/info/85-11-148-street-briarwood-ny-11435,85_11_148_Street_Briarwood_NY.jpg,"$1,298,000",House For Sale,22 photos,Century 21 Milestone Realty,5,2,"1,400","4,223"
"136 23 41st Avenue, Flushing, NY",https://www.estately.com/listings/info/136-23-41st-avenue-flushing-ny-11354,136_23_41st_Avenue_Flushing_NY.jpg,"$8,800,000",Land For Sale,2 photos,E Realty International Corp,–,–,–,"4,450"
"131 05 40th Road Unit 15B, Flushing, NY",https://www.estately.com/listings/info/131-05-40th-road-flushing-ny-11354--65,131_05_40th_Road_Unit15B_Flushing_NY.jpg,"$780,000",Condo For Sale,3 photos,Modern Spaces Love Your Place,1,1,732,
"93 23 210 Street, Queens Village, NY",https://www.estately.com/listings/info/93-23-210-street-queens-village-ny-11428,93_23_210_Street_Queens_Village_NY.jpg,"$849,000",House,27 photos,Century 21 Milestone Realty,4,3,"1,800","2,800"
"88 08 32nd Avenue Unit F607, East Elmhurst, NY",https://www.estately.com/listings/info/88-08-32nd-avenue-east-elmhurst-ny-11369--3,88_08_32nd_Avenue_UnitF607_East_Elmhurst_NY.jpg,"$243,500",House For Sale,11 photos,N & H Realty Group Inc,1,1,700,
"27 34 164th Street, Flushing, NY",https://www.estately.com/listings/info/27-34-164th-street-flushing-ny-11358--1,27_34_164th_Street_Flushing_NY.jpg,"$1,450,000",Multifamily For Sale,1 photo,E Realty International Corp,4,3,"1,536","2,518"
"32 42 74th Street, East Elmhurst, NY",https://www.estately.com/listings/info/32-42-74th-street-east-elmhurst-ny-11370,32_42_74th_Street_East_Elmhurst_NY.jpg,"$999,888",Multifamily For Sale,14 photos,Rock Realty Inc,3,2,–,"2,000"
"109 42 Centreville Street, Ozone Park, NY",https://www.estately.com/listings/info/109-42-centreville-street-ozone-park-ny-11417--2,109_42_Centreville_Street_Ozone_Park_NY.jpg,"$919,000",Multifamily For Sale,23 photos,Century 21 Amiable Rlty Grp II,5,3,"1,740","2,609"
"5 03 119th Street, Flushing, NY",https://www.estately.com/listings/info/5-03-119th-street-flushing-ny-11356,5_03_119th_Street_Flushing_NY.jpg,"$1,299,000",House For Sale,6 photos,Eagle Realty Group New York,4,3,"1,542","4,500"
"230 21 88th Avenue, Bellerose, NY",https://www.estately.com/listings/info/230-21-88th-avenue-bellerose-ny-11426,230_21_88th_Avenue_Bellerose_NY.jpg,"$1,199,000",Multifamily For Sale,34 photos,Century 21 Excelsior Realty,3,3,–,"3,981"
"131 05 40th Road Unit Ph1T, Flushing, NY",https://www.estately.com/listings/info/131-05-40th-road-flushing-ny-11354--64,131_05_40th_Road_UnitPh1T_Flushing_NY.jpg,"$638,000",Condo For Sale,9 photos,United Real Estate Fortune,–,1,492,
"148 09 Northern Boulevard Unit 4L, Flushing, NY",https://www.estately.com/listings/info/148-09-northern-boulevard-flushing-ny-11354--39,148_09_Northern_Boulevard_Unit4L_Flushing_NY.jpg,"$835,000",Condo For Sale,13 photos,Corcoran,2,2,–,
"42 78 Hampton St, Elmhurst, NY",https://www.estately.com/listings/info/42-78-hampton-st-elmhurst-ny-11373,42_78_Hampton_St_Elmhurst_NY.jpg,"$1,350,000",Multifamily For Sale,1 photo,Tyme Realty Corp,4,3,–,"2,500"
"146 17 34th Avenue, Flushing, NY",https://www.estately.com/listings/info/146-17-34th-avenue-flushing-ny-11354,146_17_34th_Avenue_Flushing_NY.jpg,"$1,088,000",House,3 photos,Signature Premier Properties,3,2,–,"3,000"
"78 37 62nd Street Street, Glendale, NY",https://www.estately.com/listings/info/78-37-62nd-street-street-glendale-ny-11385,78_37_62nd_Street_Street_Glendale_NY.jpg,"$699,000",Multifamily For Sale,1 photo,Crifasi Real Estate Inc,2,2,–,"2,300"
