Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"5 03 119th Street, Flushing, NY",https://www.estately.com/listings/info/5-03-119th-street-flushing-ny-11356,5_03_119th_Street_Flushing_NY.jpg,"$1,399,000",House For Sale,6 photos,Eagle Realty Group New York,4,3,"1,542","4,500"
"230 21 88th Avenue, Bellerose, NY",https://www.estately.com/listings/info/230-21-88th-avenue-bellerose-ny-11426,230_21_88th_Avenue_Bellerose_NY.jpg,"$1,199,000",Multifamily For Sale,34 photos,Century 21 Excelsior Realty,3,3,–,"3,981"
"488 Sterling Pl Unit 4-B, Brooklyn, NY",https://www.estately.com/listings/info/488-sterling-pl-brooklyn-ny-11238,488_Sterling_Pl_Unit4B_Brooklyn_NY.jpg,"$1,999,000",Condo For Sale,19 photos,R New York,2,2,"1,279",
"131 05 40th Road Unit Ph1T, Flushing, NY",https://www.estately.com/listings/info/131-05-40th-road-flushing-ny-11354--64,131_05_40th_Road_UnitPh1T_Flushing_NY.jpg,"$638,000",Condo For Sale,9 photos,United Real Estate Fortune,–,1,492,
"148 09 Northern Boulevard Unit 4L, Flushing, NY",https://www.estately.com/listings/info/148-09-northern-boulevard-flushing-ny-11354--39,148_09_Northern_Boulevard_Unit4L_Flushing_NY.jpg,"$835,000",Condo For Sale,12 photos,Corcoran,2,2,–,
"One Manhattan Square Unit 69K, New York, NY",https://www.estately.com/listings/info/250-south-street-new-york-ny-10002--1,One_Manhattan_Square_Unit69K_New_York_NY.jpg,"$1,680,000",Condo For Sale,30 photos,Chase Global Realty Corp,1,1,618,
"249 Slater Boulevard, Staten Island, NY",https://www.estately.com/listings/info/249-slater-boulevard-staten-island-ny-10305,249_Slater_Boulevard_Staten_Island_NY.jpg,"$748,888",House For Sale,25 photos,BH&G Real Estate Safari Realty,3,3,–,"2,727"
"42 78 Hampton St, Elmhurst, NY",https://www.estately.com/listings/info/42-78-hampton-st-elmhurst-ny-11373,42_78_Hampton_St_Elmhurst_NY.jpg,"$1,350,000",Multifamily For Sale,1 photo,Tyme Realty Corp,4,3,–,"2,500"
"146 17 34th Avenue, Flushing, NY",https://www.estately.com/listings/info/146-17-34th-avenue-flushing-ny-11354,146_17_34th_Avenue_Flushing_NY.jpg,"$1,088,000",House,1 photo,Signature Premier Properties,3,2,–,"3,000"
"78 37 62nd Street Street, Glendale, NY",https://www.estately.com/listings/info/78-37-62nd-street-street-glendale-ny-11385,78_37_62nd_Street_Street_Glendale_NY.jpg,"$699,000",Multifamily For Sale,1 photo,Crifasi Real Estate Inc,2,2,–,"2,300"
"115 60 227th Street, Cambria Heights, NY",https://www.estately.com/listings/info/115-60-227th-street-cambria-heights-ny-11411--1,115_60_227th_Street_Cambria_Heights_NY.jpg,"$650,000",Townhouse For Sale,15 photos,D Scully Realty Group LLC,2,2,–,"2,900"
"159 19 82nd Street, Howard Beach, NY",https://www.estately.com/listings/info/159-19-82nd-street-howard-beach-ny-11414,159_19_82nd_Street_Howard_Beach_NY.jpg,"$959,000",House For Sale,28 photos,Century 21 Amiable Rlty Grp II,3,2,–,"5,000"
"15 31 149 Street, Whitestone, NY",https://www.estately.com/listings/info/15-31-149-street-whitestone-ny-11357,15_31_149_Street_Whitestone_NY.jpg,"$888,000",House For Sale,10 photos,Keller Williams Rlty Landmark,–,2,"1,000","1,667"
