Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size,Days on Site
"911 SE 16th Street, Deerfield Beach, FL",https://www.estately.com/listings/info/911-se-16th-street-deerfield-beach-fl-33441,911_SE_16th_Street_Deerfield_Beach_FL.jpg,"$995,000",House For Sale,43 photos,"Castles By The Beach, Inc.",3,2,"2,075",,
"2751 NE 7th Street, Pompano Beach, FL",https://www.estately.com/listings/info/2751-ne-7th-street-pompano-beach-fl-33062--1,2751_NE_7th_Street_Pompano_Beach_FL.jpg,"$899,999",House For Sale,61 photos,LoKation,2,2,"1,926",,
"1741 SW 11th Street, Boca Raton, FL",https://www.estately.com/listings/info/1741-sw-11th-street-boca-raton-fl-33486,1741_SW_11th_Street_Boca_Raton_FL.jpg,"$950,000",House For Sale,40 photos,The Keyes Company,4,2,"1,864",,
"1116 N Ocean Blvd Unit 1602, Pompano Beach, FL",https://www.estately.com/listings/info/1116-n-ocean-blvd-pompano-beach-fl-33062--25,1116_N_Ocean_Blvd_Unit1602_Pompano_Beach_FL.jpg,"$2,325,000",Condo For Sale,36 photos,,2,3,"1,923",,
"820 N Ocean Blvd Unit 1, Pompano Beach, FL",https://www.estately.com/listings/info/820-n-ocean-blvd-pompano-beach-fl-33062--2,820_N_Ocean_Blvd_Unit1_Pompano_Beach_FL.jpg,"$339,000",Condo For Sale,21 photos,,–,1,352,,
"2501 SE 4th St, Pompano Beach, FL",https://www.estately.com/listings/info/2501-se-4th-st-pompano-beach-fl-33062,2501_SE_4th_St_Pompano_Beach_FL.jpg,"$939,000",House For Sale,67 photos,,3,3,"2,169","9,444",
"4430 NE 28th Ter, Lighthouse Point, FL",https://www.estately.com/listings/info/4430-ne-28th-ter-lighthouse-point-fl-33064,4430_NE_28th_Ter_Lighthouse_Point_FL.jpg,"$870,000",House For Sale,27 photos,,3,2,"1,859","9,000",
"1099 NE 4th Avenue, Boca Raton, FL",https://www.estately.com/listings/info/1099-ne-4th-avenue-boca-raton-fl-33432--1,1099_NE_4th_Avenue_Boca_Raton_FL.jpg,"$6,695,000",House For Sale,17 photos,Douglas Elliman,6,6.5,"5,577",,
"2405 SE 6th Street, Pompano Beach, FL",https://www.estately.com/listings/info/2405-se-6th-street-pompano-beach-fl-33062--2,2405_SE_6th_Street_Pompano_Beach_FL.jpg,"$750,000",House For Sale,27 photos,Douglas Elliman,3,2,"1,100",,
"2900 NE 14th St Causeway Unit 203, Pompano Beach, FL",https://www.estately.com/listings/info/2900-ne-14th-st-causeway-pompano-beach-fl-33062--4,2900_NE_14th_St_Causeway_Unit203_Pompano_Beach_FL.jpg,"$519,900",Condo For Sale,60 photos,EXP Realty LLC,2,2,"1,427",,
"190 SE 2nd Street, Deerfield Beach, FL",https://www.estately.com/listings/info/190-se-2nd-st-deerfield-beach-fl-33441,190_SE_2nd_Street_Deerfield_Beach_FL.jpg,"$400,000",House For Sale,2 photos,,3,3,"1,384",906,
"1000 S Ocean Boulevard Unit 308, Boca Raton, FL",https://www.estately.com/listings/info/1000-s-ocean-boulevard-boca-raton-fl-33432--15,1000_S_Ocean_Boulevard_Unit308_Boca_Raton_FL.jpg,"$5,575,000",Condo For Sale,45 photos,Douglas Elliman,3,3.5,"3,408",,
"1155 Hillsboro Mile Unit 303, Hillsboro Beach, FL",https://www.estately.com/listings/info/1155-hillsboro-mile-hillsboro-beach-fl-33062--14,1155_Hillsboro_Mile_Unit303_Hillsboro_Beach_FL.jpg,"$1,200,000",Condo For Sale,27 photos,Keller Williams Realty Services,3,2.5,"2,463",,
"4871 NE 14th Ter, Pompano Beach, FL",https://www.estately.com/listings/info/4871-ne-14th-ter-pompano-beach-fl-33064--3,4871_NE_14th_Ter_Pompano_Beach_FL.jpg,"$525,000",House For Sale,14 photos,,5,2,"1,800","7,719",
"678 NW 7th Ave, Boca Raton, FL",https://www.estately.com/listings/info/678-nw-7th-ave-boca-raton-fl-33486,678_NW_7th_Ave_Boca_Raton_FL.jpg,"$1,399,000",House For Sale,34 photos,,3,2,"1,741","7,500",
"1040 W Camino Real, Boca Raton, FL",https://www.estately.com/listings/info/1040-w-camino-real-boca-raton-fl-33486,1040_W_Camino_Real_Boca_Raton_FL.jpg,"$700,000",House For Sale,44 photos,,3,2,"1,613","8,252",
"1039 Hillsboro Mile Unit 7, Hillsboro Beach, FL",https://www.estately.com/listings/info/1039-hillsboro-mile-hillsboro-beach-fl-33062--1,1039_Hillsboro_Mile_Unit7_Hillsboro_Beach_FL.jpg,"$599,000",Condo For Sale,22 photos,Charles Rutenberg Realty FTL,2,2,"1,000",,
"1333 NE 39th St, Pompano Beach, FL",https://www.estately.com/listings/info/1333-ne-39th-st-pompano-beach-fl-33064--2,1333_NE_39th_St_Pompano_Beach_FL.jpg,"$499,000",House For Sale,23 photos,,4,2,"1,636","5,621",
"5080 Heatherhill Lane Unit 3106, Boca Raton, FL",https://www.estately.com/listings/info/5080-heatherhill-lane-boca-raton-fl-33486--4,5080_Heatherhill_Lane_Unit3106_Boca_Raton_FL.jpg,"$419,900",Townhouse For Sale,25 photos,RSI Real Estate,2,1,"1,019",,
"1384 SW 12th Street, Boca Raton, FL",https://www.estately.com/listings/info/1384-sw-12th-street-boca-raton-fl-33486,1384_SW_12th_Street_Boca_Raton_FL.jpg,"$775,000",House For Sale,33 photos,Re/Max Direct,3,3,"1,879",,
"1428 SE 4th Avenue Unit 274, Deerfield Beach, FL",https://www.estately.com/listings/info/1428-se-4th-avenue-deerfield-beach-fl-33441--14,1428_SE_4th_Avenue_Unit274_Deerfield_Beach_FL.jpg,"$205,000",Condo For Sale,27 photos,Realty Standard Inc,1,1.5,800,,
"485 E Royal Palm Road Unit 403, Boca Raton, FL",https://www.estately.com/listings/info/485-e-royal-palm-road-boca-raton-fl-33432,485_E_Royal_Palm_Road_Unit403_Boca_Raton_FL.jpg,"$3,150,000",Condo For Sale,23 photos,One Sotheby's International Realty,3,3.5,"2,425",,
"250 NE 20th Street NE Unit 5230, Boca Raton, FL",https://www.estately.com/listings/info/250-ne-20th-street-ne-boca-raton-fl-33431--3,250_NE_20th_Street_NE_Unit5230_Boca_Raton_FL.jpg,"$269,900",Condo For Sale,30 photos,The Rausch Real Estate Top Gun Team Inc,2,2,"1,080",,
"140 NE 5th Street, Deerfield Beach, FL",https://www.estately.com/listings/info/140-ne-5th-street-deerfield-beach-fl-33441,140_NE_5th_Street_Deerfield_Beach_FL.jpg,"$351,300",House For Sale,1 photo,BNC Realty Group LLC,3,1,"1,352",,
"1225 Hillsboro Mile Unit R1, Hillsboro Beach, FL",https://www.estately.com/listings/info/1225-hillsboro-mile-hillsboro-beach-fl-33062,1225_Hillsboro_Mile_UnitR1_Hillsboro_Beach_FL.jpg,"$625,000",House For Sale,33 photos,"United Realty Group, Inc",1,1,644,,
"300 NE 20th St Unit 6060, Boca Raton, FL",https://www.estately.com/listings/info/300-ne-20th-st-boca-raton-fl-33431--8,300_NE_20th_St_Unit6060_Boca_Raton_FL.jpg,"$195,000",Condo For Sale,18 photos,,2,2,831,,
"601 Pine Dr Unit 302, Pompano Beach, FL",https://www.estately.com/listings/info/601-pine-dr-pompano-beach-fl-33060--2,601_Pine_Dr_Unit302_Pompano_Beach_FL.jpg,"$161,000",House For Sale,37 photos,,1,1,500,,
"1289 SW 7th Street, Boca Raton, FL",https://www.estately.com/listings/info/1289-sw-7th-street-boca-raton-fl-33486--1,1289_SW_7th_Street_Boca_Raton_FL.jpg,"$825,000",House For Sale,51 photos,"DEFY Realty, LLC",5,3,"2,707",,
"840 SW 22nd Street, Boca Raton, FL",https://www.estately.com/listings/info/840-sw-22nd-street-boca-raton-fl-33486,840_SW_22nd_Street_Boca_Raton_FL.jpg,"$2,995,000",House For Sale,50 photos,Keller Williams Realty Services,5,3.5,"3,377","10,800",
"300 Palmwood Place Unit P202, Boca Raton, FL",https://www.estately.com/listings/info/300-palmwood-place-boca-raton-fl-33431--2,300_Palmwood_Place_UnitP202_Boca_Raton_FL.jpg,"$374,900",Condo For Sale,15 photos,,2,2,935,,
"155 E Boca Raton Road Unit 420, Boca Raton, FL",https://www.estately.com/listings/info/155-e-boca-raton-road-boca-raton-fl-33432--62,155_E_Boca_Raton_Road_Unit420_Boca_Raton_FL.jpg,"$2,270,000",Condo For Sale,67 photos,Lang Realty/Delray Beach,3,3.5,"2,114",,
"1310 SW 10th Ter, Deerfield Beach, FL",https://www.estately.com/listings/info/1310-sw-10th-ter-deerfield-beach-fl-33441,1310_SW_10th_Ter_Deerfield_Beach_FL.jpg,"$524,900",House For Sale,35 photos,,4,2,"1,404","7,000",
"700 NE Harbour Terrace Unit 1250, Boca Raton, FL",https://www.estately.com/listings/info/700-ne-harbour-terrace-boca-raton-fl-33431--1,700_NE_Harbour_Terrace_Unit1250_Boca_Raton_FL.jpg,"$599,000",Condo For Sale,41 photos,Campbell&Rosemurgy Real Estate,2,2,"1,175",,
"1515 NE 28th Court, Pompano Beach, FL",https://www.estately.com/listings/info/1515-ne-28th-court-ne-pompano-beach-fl-33064,1515_NE_28th_Court_Pompano_Beach_FL.jpg,"$415,000",House For Sale,43 photos,Century 21 Stein Posner,3,1,"1,189",,
"500 Silver Ln, Boca Raton, FL",https://www.estately.com/listings/info/500-silver-ln-boca-raton-fl-33432,500_Silver_Ln_Boca_Raton_FL.jpg,"$2,150,000",House For Sale,30 photos,,3,3,"1,984","10,057",
"550 SE Mizner Boulevard Unit B604, Boca Raton, FL",https://www.estately.com/listings/info/550-se-mizner-boulevard-boca-raton-fl-33432--25,550_SE_Mizner_Boulevard_UnitB604_Boca_Raton_FL.jpg,"$2,375,000",Condo For Sale,48 photos,Signature Int'l Premier Properties,2,3,"2,057",,
"462 NE 21st Avenue, Deerfield Beach, FL",https://www.estately.com/listings/info/462-ne-21st-avenue-deerfield-beach-fl-33441--3,462_NE_21st_Avenue_Deerfield_Beach_FL.jpg,"$7,499,000",House For Sale,70 photos,RE/MAX Services,3,2.5,"2,055",,
"1555 SE 7th Street, Deerfield Beach, FL",https://www.estately.com/listings/info/1555-se-7th-street-deerfield-beach-fl-33441,1555_SE_7th_Street_Deerfield_Beach_FL.jpg,"$1,895,000",House For Sale,57 photos,Voro LLC,3,3,"2,392","8,000",
"2830 NE 40th Ct, Lighthouse Point, FL",https://www.estately.com/listings/info/2830-ne-40th-ct-lighthouse-point-fl-33064,2830_NE_40th_Ct_Lighthouse_Point_FL.jpg,"$1,250,000",House For Sale,54 photos,,3,3,"1,901","8,562",
"990 NW 10th Street, Boca Raton, FL",https://www.estately.com/listings/info/990-nw-10th-street-boca-raton-fl-33486,990_NW_10th_Street_Boca_Raton_FL.jpg,"$870,000",House For Sale,40 photos,KW Innovations,4,2,"1,780",,
"2611 N Riverside Dr Unit 704, Pompano Beach, FL",https://www.estately.com/listings/info/2611-n-riverside-dr-pompano-beach-fl-33062--13,2611_N_Riverside_Dr_Unit704_Pompano_Beach_FL.jpg,"$394,500",Condo For Sale,24 photos,,1,1,777,,
"551 NE Waterway Lane, Boca Raton, FL",https://www.estately.com/listings/info/551-ne-waterway-lane-boca-raton-fl-33432--1,551_NE_Waterway_Lane_Boca_Raton_FL.jpg,"$8,995,000",House For Sale,84 photos,Luxury Partners Realty,4,5.5,"5,683",,
"5 SE 11th Ct, Deerfield Beach, FL",https://www.estately.com/listings/info/5-se-11th-ct-deerfield-beach-fl-33441--1,5_SE_11th_Ct_Deerfield_Beach_FL.jpg,"$699,999",House For Sale,40 photos,,3,2,"1,170","8,630",
"400 SE 10th St Unit 307, Deerfield Beach, FL",https://www.estately.com/listings/info/400-se-10th-st-deerfield-beach-fl-33441--10,400_SE_10th_St_Unit307_Deerfield_Beach_FL.jpg,"$265,000",Condo For Sale,No photo,,2,2,970,,
"2501 S Ocean Blvd Unit 202, Boca Raton, FL",https://www.estately.com/listings/info/2501-s-ocean-blvd-boca-raton-fl-33432--1,2501_S_Ocean_Blvd_Unit202_Boca_Raton_FL.jpg,"$460,000",Condo For Sale,39 photos,,2,2,960,,
"1120 Spanish River Road, Boca Raton, FL",https://www.estately.com/listings/info/1120-spanish-river-road-boca-raton-fl-33432--1,1120_Spanish_River_Road_Boca_Raton_FL.jpg,"$7,998,000",House For Sale,76 photos,William Raveis Real Estate,5,6.5,"6,646",,
"606 SW Natura Boulevard Unit 107, Deerfield Beach, FL",https://www.estately.com/listings/info/606-sw-natura-boulevard-deerfield-beach-fl-33441--1,606_SW_Natura_Boulevard_Unit107_Deerfield_Beach_FL.jpg,"$124,000",Condo For Sale,21 photos,EXP Realty LLC,1,1.5,724,,
"960 SW 20th Street, Boca Raton, FL",https://www.estately.com/listings/info/960-sw-20th-street-boca-raton-fl-33486,960_SW_20th_Street_Boca_Raton_FL.jpg,"$1,065,000",House For Sale,40 photos,Compass Florida LLC,3,2,"1,724",,
