Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size,Sold Date
"39398 Zacate Avenue, Fremont, CA",https://www.estately.com/listings/info/39398-zacate-avenue-fremont-ca-94539--3,,"$1,665,000",Sold House,51 photos,Sold House,3,2,"1,416","6,660",06/07/2024
"3695 Stevenson Blvd Unit 211, Fremont, CA",https://www.estately.com/listings/info/3695-stevenson-blvd-fremont-ca-94538--39,,"$738,000",Sold Condo,35 photos,Sold Condo,2,2,"1,040",,06/05/2024
"3592 Fitzsimmons Cmn, Fremont, CA",https://www.estately.com/listings/info/3592-fitzsimmons-cmn-fremont-ca-94538,,"$1,300,000",Sold Townhouse,37 photos,Sold Townhouse,3,3,"1,638","1,136",06/05/2024
"1288 Albacore Terrace, Fremont, CA",https://www.estately.com/listings/info/1288-albacore-terrace-fremont-ca-94536,,"$1,055,000",Sold Condo,1 photo,Sold Condo,3,3,"1,610","1,538",06/04/2024
"1288 Albacore Terrace, Fremont, CA",https://www.estately.com/listings/info/1288-albacore-terrace-fremont-ca-94536--1,,"$1,055,000",Sold Condo,1 photo,Sold Condo,3,3,"1,610","1,538",06/04/2024
"3017 Baylis St, Fremont, CA",https://www.estately.com/listings/info/3017-baylis-st-fremont-ca-94538--1,,"$1,680,000",Sold House,1 photo,Sold House,4,2,"1,763","7,936",06/03/2024
"40117 Santa Teresa Cmn, Fremont, CA",https://www.estately.com/listings/info/40117-santa-teresa-cmn-fremont-ca-94539,,"$1,262,000",Sold Townhouse,29 photos,Sold Townhouse,3,2,"1,329","1,656",06/03/2024
"4950 Nelson St, Fremont, CA",https://www.estately.com/listings/info/4950-nelson-st-fremont-ca-94538--1,,"$1,926,000",Sold House,1 photo,Sold House,3,2,"1,628","10,540",05/31/2024
"41051 Rosewalk Ct, Fremont, CA",https://www.estately.com/listings/info/41051-rosewalk-ct-fremont-ca-94539--1,,"$2,600,000",Sold House,1 photo,Sold House,5,3,"2,453","4,199",05/31/2024
"40664 Penstemon Ter, Fremont, CA",https://www.estately.com/listings/info/40664-penstemon-ter-fremont-ca-94538,,"$1,421,000",Sold Townhouse,24 photos,Sold Townhouse,3,3,"1,713","9,694",05/31/2024
"39594 Trinity Way, Fremont, CA",https://www.estately.com/listings/info/39594-trinity-way-fremont-ca-94538,,"$1,900,000",Sold Multifamily,14 photos,Sold Multifamily,–,–,–,"6,076",05/31/2024
"40134 Leslie St, Fremont, CA",https://www.estately.com/listings/info/40134-leslie-st-fremont-ca-94538--1,,"$1,280,000",Sold House,1 photo,Sold House,3,1,950,"7,490",05/31/2024
"3695 Stevenson Blvd Unit A345, Fremont, CA",https://www.estately.com/listings/info/3695-stevenson-blvd-fremont-ca-94538--38,,"$800,000",Sold Condo,1 photo,Sold Condo,3,3,"1,319",,05/30/2024
"3770 Union ST, FREMONT, CA",https://www.estately.com/listings/info/3770-union-st-fremont-ca-94538--2,,"$1,400,000",Sold House,52 photos,,3,2,"1,378","5,000",05/29/2024
"3857 Clough Ave, Fremont, CA",https://www.estately.com/listings/info/3857-clough-ave-fremont-ca-94538--1,,"$1,280,000",Sold House,1 photo,Sold House,3,2,"1,274","5,440",05/29/2024
"4640 Sloan St, Fremont, CA",https://www.estately.com/listings/info/4640-sloan-st-fremont-ca-94538,,"$1,678,800",Sold House,36 photos,Sold House,3,2,"1,204","5,800",05/23/2024
"3617 Carnival TER, FREMONT, CA",https://www.estately.com/listings/info/3617-carnival-ter-fremont-ca-94538,,"$1,400,000",Sold Townhouse,34 photos,,3,3.5,"1,661",,05/22/2024
"38226 Parkmont Drive, Fremont, CA",https://www.estately.com/listings/info/38226-parkmont-drive-fremont-ca-94536,,"$1,550,000",Sold House,1 photo,Sold House,3,3,"1,484","2,910",05/22/2024
"3617 Carnival Terrace, Fremont, CA",https://www.estately.com/listings/info/3617-carnival-terrace-fremont-ca-94538,,"$1,400,000",Sold Townhouse,34 photos,Sold Townhouse,3,4,"1,661",,05/22/2024
"4811 Coco Palm Dr, Fremont, CA",https://www.estately.com/listings/info/4811-coco-palm-dr-fremont-ca-94538--1,,"$1,451,000",Sold House,1 photo,Sold House,3,2,"1,410","5,400",05/21/2024
"2755 Country Dr Unit 143, Fremont, CA",https://www.estately.com/listings/info/2755-country-dr-fremont-ca-94536--11,,"$590,000",Sold Condo,1 photo,Sold Condo,2,2,950,,05/21/2024
"4557 De Silva, Fremont, CA",https://www.estately.com/listings/info/4557-de-silva-fremont-ca-94538,,"$1,435,000",Sold House,33 photos,Sold House,3,2,"1,148","6,836",05/20/2024
"39784 Bissy Cmn, Fremont, CA",https://www.estately.com/listings/info/39784-bissy-cmn-fremont-ca-94538,,"$720,000",Sold Condo,34 photos,Sold Condo,2,2,"1,067","10,132",05/17/2024
"1047 Vardin Terrace, Fremont, CA",https://www.estately.com/listings/info/1047-vardin-terrace-fremont-ca-94536,,"$1,062,000",Sold Townhouse,38 photos,Sold Townhouse,2,3,"1,178",,05/17/2024
"39784 Bissy Cmn, Fremont, CA",https://www.estately.com/listings/info/39784-bissy-cmn-fremont-ca-94538--1,,"$720,000",Sold Condo,1 photo,Sold Condo,2,2,"1,067","10,132",05/17/2024
"1047 Vardin TER, FREMONT, CA",https://www.estately.com/listings/info/1047-vardin-ter-fremont-ca-94536,,"$1,062,000",Sold Townhouse,38 photos,,2,2.5,"1,178",,05/17/2024
"4303 Tehama Ave, Fremont, CA",https://www.estately.com/listings/info/4303-tehama-ave-fremont-ca-94538,,"$1,352,700",Sold House,6 photos,Sold House,3,2,"1,269","6,000",05/17/2024
"4463 Hyde Cmn Unit 224, Fremont, CA",https://www.estately.com/listings/info/4463-hyde-cmn-fremont-ca-94538--16,,"$1,100,000",Sold Condo,36 photos,Sold Condo,3,2,"1,540",,05/15/2024
"39488 Loft Terrace, Fremont, CA",https://www.estately.com/listings/info/39488-loft-terrace-fremont-ca-94539,,"$860,000",Sold Condo,49 photos,Sold Condo,2,2,"1,023",,05/14/2024
"39488 Loft TER, FREMONT, CA",https://www.estately.com/listings/info/39488-loft-ter-fremont-ca-94539,,"$860,000",Sold Condo,49 photos,,2,2,"1,023",,05/14/2024
"2893 Predio Terrace, Fremont, CA",https://www.estately.com/listings/info/2893-predio-terrace-fremont-ca-94539,,"$1,533,800",Sold Townhouse,16 photos,Sold Townhouse,3,4,"1,829",,05/13/2024
"3551 Gilman Cmn, Fremont, CA",https://www.estately.com/listings/info/3551-gilman-cmn-fremont-ca-94538--3,,"$1,500,000",Sold Townhouse,55 photos,Sold Townhouse,3,3,"1,935","1,299",05/13/2024
