Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size,Days on Site
"3424 URSULINE, Galveston, TX",https://www.estately.com/listings/info/3424-ursuline-galveston-tx-77550,3424_URSULINE_Galveston_TX.jpg,"$299,900",House For Sale,20 photos,"Joe Tramonte Realty, Inc.",2,1,"1,012","5,136",
"2809 W Palm Circle, Galveston, TX",https://www.estately.com/listings/info/2809-w-palm-circle-galveston-tx-77551,2809_W_Palm_Circle_Galveston_TX.jpg,"$370,000",House For Sale,35 photos,RE/MAX Leading Edge,3,2,"1,877","6,300",
"2415 38th Street, Galveston, TX",https://www.estately.com/listings/info/2415-38th-street-galveston-tx-77550,2415_38th_Street_Galveston_TX.jpg,"$359,000",House For Sale,22 photos,Keller Williams Realty Clear Lake / NASA,2,1,"1,043","3,941",
"3807 Avenue M 1/2, Galveston, TX",https://www.estately.com/listings/info/3807-avenue-m-1-2-galveston-tx-77550--3,3807_Avenue_M_12_Galveston_TX.jpg,"$429,000",House For Sale,39 photos,Rose Above Realty,3,2,"1,324","5,140",
"3807 Avenue R, Galveston, TX",https://www.estately.com/listings/info/3807-avenue-r-galveston-tx-77550,3807_Avenue_R_Galveston_TX.jpg,"$679,000",House For Sale,7 photos,Connect Realty.com,3,2,"1,742","7,710",
"5624 Avenue L, Galveston, TX",https://www.estately.com/listings/info/5624-avenue-l-galveston-tx-77551--3,5624_Avenue_L_Galveston_TX.jpg,"$221,500",House For Sale,16 photos,Sky Homes Realty,2,2,"1,050","3,000",
"6102 Seawall Boulevard Unit 193, Galveston, TX",https://www.estately.com/listings/info/6102-seawall-boulevard-galveston-tx-77551--177,6102_Seawall_Boulevard_Unit193_Galveston_TX.jpg,"$214,900",Condo For Sale,16 photos,RE/MAX Space Center,1,1,462,462,
"3223 Avenue M, Galveston, TX",https://www.estately.com/listings/info/3223-avenue-m-galveston-tx-77550,3223_Avenue_M_Galveston_TX.jpg,"$400,000",House For Sale,44 photos,Coldwell Banker Realty - Memorial Office,6,4,"2,398","2,432",
"4818 Sherman Boulevard, Galveston, TX",https://www.estately.com/listings/info/4818-sherman-boulevard-galveston-tx-77551,4818_Sherman_Boulevard_Galveston_TX.jpg,"$550,000",House For Sale,50 photos,"Joe Tramonte Realty, Inc.",3,2.5,"2,422","6,292",
"4014 Avenue R 1/2, Galveston, TX",https://www.estately.com/listings/info/4014-avenue-r-1-2-galveston-tx-77550,4014_Avenue_R_12_Galveston_TX.jpg,"$724,900",House For Sale,48 photos,Keller Williams Premier Realty,3,4.5,"2,564","5,568",
"4924 Austin Drive, Galveston, TX",https://www.estately.com/listings/info/4924-austin-drive-galveston-tx-77551--2,4924_Austin_Drive_Galveston_TX.jpg,"$349,900",House For Sale,18 photos,Prime Realty Group,3,2,"1,574","5,000",
"2422 Avenue M, Galveston, TX",https://www.estately.com/listings/info/2422-avenue-m-galveston-tx-77550--8,2422_Avenue_M_Galveston_TX.jpg,"$485,000",House For Sale,50 photos,Better Homes and Gardens Real Estate Gary Greene - Champions,5,3,"1,632","4,368",
"702 40th Street, Galveston, TX",https://www.estately.com/listings/info/702-40th-street-galveston-tx-77550--1,702_40th_Street_Galveston_TX.jpg,"$219,950",House For Sale,19 photos,KA Realty,2,1,660,"1,764",
"6102 Seawall Boulevard Unit 158, Galveston, TX",https://www.estately.com/listings/info/6102-seawall-boulevard-galveston-tx-77551--176,6102_Seawall_Boulevard_Unit158_Galveston_TX.jpg,"$199,900",Condo For Sale,50 photos,RE/MAX Elite Properties,1,1,462,462,
